Overall ranking,Year,City,Total percent below poverty,Percent of under age 18 below poverty,Percent of over age 60 below poverty,Percent of white below poverty,Percent of black below poverty,Percetn of Latino below poverty,Percent with BA or higher below poverty,State
461,2016,Gaithersburg city  ,9,9.5,8.8,6.5,15.3,10.8,2.1,Maryland
462,2016,Danbury city  ,8.9,9.7,9.4,6.2,N,10.6,3.3,Connecticut
463,2016,Brandon CDP  ,8.8,13.7,7.4,5.9,N,13.7,3,Florida
464,2016,Farmington Hills city  ,8.8,14.4,6.1,9.5,10.4,N,1.5,Michigan
465,2016,Camarillo city  ,8.7,13.8,5.1,8.1,N,11.3,4.6,California
466,2016,Westminster city  ,8.7,11.1,7.9,6.1,N,15.3,3.5,Colorado
467,2016,Boca Raton city  ,8.7,6.8,5.9,5.4,N,29.3,6,Florida
468,2016,Palo Alto city  ,8.6,12,10.1,3.8,N,N,4.4,California
469,2016,Redwood City city  ,8.6,11.1,8.3,5.5,N,13.5,4,California
470,2016,Lakewood city  ,8.6,10.6,9.1,6.2,N,17.2,4,Colorado
471,2016,Billings city  ,8.6,7.5,8,9.1,N,N,4.8,Montana
472,2016,Clifton city  ,8.6,13.4,5.6,9.3,N,6.4,3.5,New Jersey
473,2016,Parma city  ,8.6,16.8,4.7,6.7,N,N,5.6,Ohio
474,2016,Broken Arrow city  ,8.6,12.4,5.9,7.3,N,22.8,2.3,Oklahoma
475,2016,Warwick city  ,8.6,12,10.7,9.1,N,N,2.8,Rhode Island
476,2016,Carson city  ,8.5,11.3,9.1,6.4,8.6,10.5,3.8,California
477,2016,Broomfield city  ,8.5,9.9,8,7.1,N,21.7,3.5,Colorado
478,2016,Bolingbrook village  ,8.5,13.3,8.5,4.4,21.1,7.9,5.9,Illinois
479,2016,Henderson city  ,8.5,10.7,5.5,7.6,19.4,8.5,4.3,Nevada
480,2016,Rancho Cucamonga city  ,8.4,9.5,7.6,6.4,9,10,3.8,California
481,2016,Plantation city  ,8.4,10.9,5.6,6.9,12.3,6.3,6.8,Florida
482,2016,Framingham CDP  ,8.4,9.9,8.2,5.6,N,29.2,2.8,Massachusetts
483,2016,Stamford city  ,8.3,9.7,7.8,5.6,13.8,11.7,3.7,Connecticut
484,2016,Castro Valley CDP  ,8.2,6.9,8.2,10,N,5.4,3.3,California
485,2016,Huntington Beach city  ,8.2,13.4,5.3,6.2,N,16.6,2.5,California
486,2016,Menifee city  ,8.2,8.2,5.8,9.7,N,5.6,4.4,California
487,2016,San Buenaventura (Ventura) city  ,8.2,5.5,7.3,8.9,N,7.9,3.3,California
488,2016,Roswell city  ,8.2,9,7.7,5.1,N,25,2.4,Georgia
489,2016,Waldorf CDP  ,8.2,13,11,9.8,6.7,N,2.3,Maryland
490,2016,Lake Forest city  ,8.1,12.8,12.2,7.6,N,8.4,3.4,California
491,2016,Temecula city  ,8.1,9.9,6.1,6.9,N,10.2,5,California
492,2016,Schaumburg village  ,8.1,11.3,8.5,5.6,N,N,2.2,Illinois
493,2016,McKinney city  ,8.1,12.4,8.1,4.9,18.6,14.7,4.1,Texas
494,2016,Arlington CDP  ,8.1,7.6,8.5,4.2,10,16.9,3.5,Virginia
495,2016,Scottsdale city  ,8,9.4,6.2,6.8,N,16.7,4.3,Arizona
496,2016,Thornton city  ,8,8.2,8.5,3.4,N,17.1,2.7,Colorado
497,2016,Chesapeake city  ,8,14.7,5.3,5.6,12.8,N,1.4,Virginia
498,2016,Virginia Beach city  ,7.9,10.8,5.9,6.4,10.6,11.4,3.2,Virginia
499,2016,Milpitas city  ,7.8,9,6.3,,N,15.6,3.9,California
500,2016,Napa city  ,7.8,7.4,10.1,7.6,N,8.8,2.8,California
